sample_id,site,sample.type,date,duration,experiment,experiment.type,site.experiment,site.type
7.DeMMO1.Steri.050917,D1,fluid,50917,,fluid,fluid,D1.fluid,D1.fluid
1.DeMMO1.steri.083117,D1,fluid,83117,,fluid,fluid,D1.fluid,D1.fluid
1.DeMMO1.steri.113017,D1,fluid,113017,,fluid,fluid,D1.fluid,D1.fluid
12.DeMMO1.steri.041818,D1,fluid,41818,,fluid,fluid,D1.fluid,D1.fluid
NU.24.DeMMO1.D1.wool.Sep2016,D1,wool,92016,52,inert.control,inert.control,D1.inert.control,D1.inert.control
NU.25.DeMMO1.D1.sand.Sep2016,D1,sand,92016,52,inert.control,inert.control,D1.inert.control,D1.inert.control
1.DeMMO1.Steri.021517,D1,fluid,21517,,fluid,fluid,D1.fluid,D1.fluid
20.DeMMO1.A.top.041818,D1,pyrolusite,41818,139,mineral,pyrolusite,D1.pyrolusite,D1.mineral
22.DeMMO1.C.top.041818,D1,pyrite,41818,139,mineral,pyrite,D1.pyrite,D1.mineral
23.DeMMO1.D.top.041818,D1,hematite,41818,139,mineral,hematite,D1.hematite,D1.mineral
24.DeMMO1.E.top.041818,D1,magnetite,41818,139,mineral,magnetite,D1.magnetite,D1.mineral
26.DeMMO1.SC1.top.041818,D1,pyrolusite,41818,230,mineral,pyrolusite,D1.pyrolusite,D1.mineral
27.DeMMO1.SC2.top.041818,D1,siderite,41818,230,mineral,siderite,D1.siderite,D1.mineral
28.DeMMO1.SC3.top.041818,D1,pyrite,41818,230,mineral,pyrite,D1.pyrite,D1.mineral
29.DeMMO1.SC4.top.041818,D1,hematite,41818,230,mineral,hematite,D1.hematite,D1.mineral
30.DeMMO1.SC5.top.041818,D1,magnetite,41818,230,mineral,magnetite,D1.magnetite,D1.mineral
31.DeMMO1.SC7.top.041818,D1,3mmPyrex,41818,230,inert.control,inert.control,D1.inert.control,D1.inert.control
32.DeMMO1.SC8.top.041818,D1,5mmPyrex,41818,230,inert.control,inert.control,D1.inert.control,D1.inert.control
33.DeMMO1.SC9.top.041818,D1,wool,41818,230,inert.control,inert.control,D1.inert.control,D1.inert.control
34.DeMMO1.SC10.top.041818,D1,sand,41818,230,inert.control,inert.control,D1.inert.control,D1.inert.control
45.DeMMO1.7.top.041818,D1,calcite,41818,230,mineral,calcite,D1.calcite,D1.mineral
46.DeMMO1.8.top.041818,D1,gypsum,41818,230,mineral,gypsum,D1.gypsum,D1.mineral
47.DeMMO1.9.top.041818,D1,muscovite,41818,230,mineral,muscovite,D1.muscovite,D1.mineral
50.DeMMO1.12.top.041818,D1,sand,41818,203,inert.control,inert.control,D1.inert.control,D1.inert.control
NU.18.DeMMO3.Steri.Dec2015,D3,fluid,120115,,fluid,fluid,D3.fluid,D3.fluid
28.24790.071216,D3,fluid,71216,,fluid,fluid,D3.fluid,D3.fluid
NU.05.DeMMO3.Steri.2.092116,D3,fluid,92116,,fluid,fluid,D3.fluid,D3.fluid
6.DeMMO3.Steri.021517,D3,fluid,21517,,fluid,fluid,D3.fluid,D3.fluid
9.DeMMO3.Steri.051117,D3,fluid,51117,,fluid,fluid,D3.fluid,D3.fluid
3.DeMMO3.steri.083117,D3,fluid,83117,,fluid,fluid,D3.fluid,D3.fluid
3.DeMMO3.steri.112717,D3,fluid,112717,,fluid,fluid,D3.fluid,D3.fluid
14.DeMMO3.steri.041718,D3,fluid,41718,,fluid,fluid,D3.fluid,D3.fluid
NU.44.DeMMO3.D1.wool.Sep2016,D3,wool,92316,52,inert.control,inert.control,D3.inert.control,D3.inert.control
NU.45.DeMMO3.D1.sand.Sep2016,D3,sand,92316,52,inert.control,inert.control,D3.inert.control,D3.inert.control
25.DeMMO3.T7.top.051117,D3,pyrolusite,51117,85,mineral,pyrolusite,D3.pyrolusite,D3.mineral
27.DeMMO3.T8.top.051117,D3,siderite,51117,85,mineral,siderite,D3.siderite,D3.mineral
29.DeMMO3.T9.top.051117,D3,pyrite,51117,85,mineral,pyrite,D3.pyrite,D3.mineral
31.DeMMO3.T10.top.051117,D3,hematite,51117,85,mineral,hematite,D3.hematite,D3.mineral
33.DeMMO3.T11.top.051117,D3,magnetite,51117,85,mineral,magnetite,D3.magnetite,D3.mineral
35.DeMMO3.T12.top.051117,D3,sand,51117,85,inert.control,inert.control,D3.inert.control,D3.inert.control
39.DeMMO3.1.top.041718,D3,calcite,41718,230,mineral,calcite,D3.calcite,D3.mineral
40.DeMMO3.2.top.041718,D3,gypsum,41718,230,mineral,gypsum,D3.gypsum,D3.mineral
41.DeMMO3.3.top.041718,D3,muscovite,41718,,mineral,muscovite,D3.muscovite,D3.mineral
44.DeMMO3.6.top.041718,D3,sand,41718,,inert.control,inert.control,D3.inert.control,D3.inert.control
51.DeMMO3.A.top.041718,D3,pyrolusite,41718,,mineral,pyrolusite,D3.pyrolusite,D3.mineral
53.DeMMO3.C.top.041718,D3,pyrite,41718,,mineral,pyrite,D3.pyrite,D3.mineral
54.DeMMO3.D.top.041718,D3,hematite,41718,,mineral,hematite,D3.hematite,D3.mineral
55.DeMMO3.E.top.041718,D3,magnetite,41718,,mineral,magnetite,D3.magnetite,D3.mineral
56.DeMMO3.F.top.041718,D3,sand,41718,,inert.control,inert.control,D3.inert.control,D3.inert.control
NU.20.DeMMO6.Steri.120815,D6,fluid,120815,,fluid,fluid,D6.fluid,D6.fluid
30.DuselB.050416,D6,fluid,50416,,fluid,fluid,D6.fluid,D6.fluid
NU.03.DeMMO6.Steri.2.092316,D6,fluid,92316,,fluid,fluid,D6.fluid,D6.fluid
NU.11.DeMMO6.Steri.2.120716,D6,fluid,120716,,fluid,fluid,D6.fluid,D6.fluid
5.DeMMO6.Steri.021415,D6,fluid,21415,,fluid,fluid,D6.fluid,D6.fluid
12.DeMMO6.Steri#2.051017,D6,fluid,51017,,fluid,fluid,D6.fluid,D6.fluid
6.DeMMO6.steri.082917,D6,fluid,82917,,fluid,fluid,D6.fluid,D6.fluid
6.DeMMO6.steri.112817,D6,fluid,112817,,fluid,fluid,D6.fluid,D6.fluid
17.DeMMO6.041618,D6,fluid,41618,,fluid,fluid,D6.fluid,D6.fluid
NU.36.DeMMO6.D1.wool.Sep2016,D6,wool,92316,52,inert.control,inert.control,D6.inert.control,D6.inert.control
NU.37.DeMMO6.D1.sand.Sep2016,D6,sand,92316,52,inert.control,inert.control,D6.inert.control,D6.inert.control
NU.38.DeMMO6.D1.3mmPyrex.Sep2016,D6,3mmPyrex,92316,52,inert.control,inert.control,D6.inert.control,D6.inert.control
NU.39.DeMMO6.5mmPyrex.Sep2016,D6,5mmPyrex,92316,52,inert.control,inert.control,D6.inert.control,D6.inert.control
13.DeMMO6.T1.top.051017,D6,pyrolusite,51017,85,mineral,pyrolusite,D6.pyrolusite,D6.mineral
15.DeMMO6.T2.top.051017,D6,siderite,51017,85,mineral,siderite,D6.siderite,D6.mineral
17.DeMMO6.T3.top.051017,D6,pyrite,51017,85,mineral,pyrite,D6.pyrite,D6.mineral
19.DeMMO6.T4.top.051017,D6,hematite,51017,85,mineral,hematite,D6.hematite,D6.mineral
21.DeMMO6.T5.top.051017,D6,magnetite,51017,85,mineral,magnetite,D6.magnetite,D6.mineral
24.DeMMO6.T6.bottom.051017,D6,sand,51017,85,inert.control,inert.control,D6.sand,D6.inert.control
34.4100L.DrillFluid.051716,ambient.control,DrillFluid,51716,,cont.control,cont.control,ambient.control,ambient.control
NU.48.800.D1.SlideBlank.Sep2016,ambient.control,SlideBlank,92016,52,cont.control,cont.control,ambient.control,ambient.control
NU.54.4800.D1.SlideBlank.Sep2016,ambient.control,SlideBlank,92316,52,cont.control,cont.control,ambient.control,ambient.control
18.800.DitchFluid.041818,ambient.control,DitchFluid,41818,,cont.control,cont.control,ambient.control,ambient.control
