,sequences per sample,iteration,NU.39.DeMMO6.5mmPyrex.Sep2016,NU.18.DeMMO3.Steri.Dec2015,NU.25.DeMMO1.D1.sand.Sep2016,NU.54.4800.D1.SlideBlank.Sep2016,NU.44.DeMMO3.D1.wool.Sep2016,NU.45.DeMMO3.D1.sand.Sep2016,NU.48.800.D1.SlideBlank.Sep2016,NU.03.DeMMO6.Steri.2.092316,NU.37.DeMMO6.D1.sand.Sep2016,NU.05.DeMMO3.Steri.2.092116,NU.11.DeMMO6.Steri.2.120716,NU.26.DeMMO1.D1.3mmPyrex.Sep2016,NU.12.DeMMO3.Steri.1.120816,NU.36.DeMMO6.D1.wool.Sep2016,NU.24.DeMMO1.D1.wool.Sep2016,NU.15.DeMMO1.Steri.120715,NU.01.DeMMO1.Steri.1.092016,NU.46.DeMMO3.D1.3mmPyrex.Sep2016,NU.47.DeMMO3.D1.5mmPyrex.Sep2016,NU.14.DeMMO1.Steri.1.120916,NU.38.DeMMO6.D1.3mmPyrex.Sep2016,NU.20.DeMMO6.Steri.120815,NU.27.DeMMO1.D1.5mmPyrex.Sep2016,34.DeMMO3.T11.bottom.051117,9.DeMMO3.Steri.051117,25.DuselD.T9.bottom.082917,26.DeMMO3.T7.bottom.051117,11.DeMMO3.T2.bottom.083017,25.DeMMO3.T7.top.051117,22.DuselD.T8.top.082917,17.DeMMO3.T5.bottom.083017,24.DeMMO6.T6.bottom.051017,7.DeMMO1.Steri.050917,16.DeMMO3.T5.top.083017,27.DuselD.T10.bottom.082917,5.DeMMO6.Steri.021415,1.DeMMO1.steri.083117,28.DeMMO3.T8.bottom.051117,27.DeMMO3.T8.top.051117,24.DuselD.T9.top.082917,36.DeMMO3.T12.bottom.051117,32.DeMMO3.T10.bottom.051117,16.DeMMO6.T2.bottom.051017,10.DeMMO3.T2.top.083017,23.DuselD.T8.bottom.082917,18.DuselD.T6.top.082917,13.DeMMO6.T1.top.051017,15.DeMMO3.T4.bottom.083017,1.DeMMO1.Steri.021517,30.DeMMO3.T9.bottom.051117,21.DuselD.T7.bottom.082917,6.DeMMO3.Steri.021517,3.DeMMO3.steri.083117,12.DeMMO6.Steri#2.051017,6.DeMMO6.steri.082917,26.DuselD.T10.top.082917,33.DeMMO3.T11.top.051117,9.DeMMO3.T1.bottom.083017,12.DeMMO3.T3.top.083017,19.DeMMO6.T4.top.051017,17.DeMMO6.T3.top.051017,20.DuselD.T7.top.082917,7.DuselD.steri.082917,22.DeMMO6.T5.bottom.051017,14.DeMMO3.T4.top.083017,20.DeMMO6.T4.bottom.051017,15.DeMMO6.T2.top.051017,18.DeMMO6.T3.bottom.051017,21.DeMMO6.T5.top.051017,29.DeMMO3.T9.top.051117,14.DeMMO6.T1.bottom.051017,19.DuselD.T6.bottom.082917,31.DeMMO3.T10.top.051117,13.DeMMO3.T3.bottom.083017,35.DeMMO3.T12.top.051117,8.DeMMO3.T1.top.083017,27.24790.AfterPacker.051616,30.DuselB.050416,34.4100L.DrillFluid.051716,18.10dash1.051816,32.DuselB.051916,14.24790.AfterDrilling.050516,15.24790.DitchFluid.050516,28.24790.071216,19.10dash1.071116,33.DuselB.071316,16.10dash1.050216,26.DeMMO1.SC1.top.041818,31.DeMMO1.SC7.top.041818,52.DeMMO3.B.top.041718,14.DeMMO3.steri.041718,53.DeMMO3.C.top.041718,56.DeMMO3.F.top.041718,30.DeMMO1.SC5.top.041818,41.DeMMO3.3.top.041718,22.DeMMO1.C.top.041818,21.DeMMO1.B.top.041818,42.DeMMO3.4.top.041718,18.800.DitchFluid.041818,55.DeMMO3.E.top.041718,47.DeMMO1.9.top.041818,54.DeMMO3.D.top.041718,34.DeMMO1.SC10.top.041818,20.DeMMO1.A.top.041818,45.DeMMO1.7.top.041818,40.DeMMO3.2.top.041718,43.DeMMO3.5.top.041718,1.DeMMO1.steri.113017,29.DeMMO1.SC4.top.041818,44.DeMMO3.6.top.041718,51.DeMMO3.A.top.041718,3.DeMMO3.steri.112717,12.DeMMO1.steri.041818,39.DeMMO3.1.top.041718,17.DeMMO6.041618,50.DeMMO1.12.top.041818,46.DeMMO1.8.top.041818,49.DeMMO1.11.top.041818,28.DeMMO1.SC3.top.041818,48.DeMMO1.10.top.041818,24.DeMMO1.E.top.041818,27.DeMMO1.SC2.top.041818,33.DeMMO1.SC9.top.041818,32.DeMMO1.SC8.top.041818,6.DeMMO6.steri.112817,23.DeMMO1.D.top.041818
alpha_rarefaction_500_0.txt,500,0,78.14285714,144.5,68.3,258,169,176,323.0833333,69,84,217.6470588,141.0769231,97.33333333,275.5714286,127.8571429,125.3333333,113.0714286,155.516129,118.6666667,97.3,303.2040816,62.85714286,67,88.3,137,302.2727273,144,134.047619,185.875,65,153.3333333,106.7692308,129.3529412,740.4411765,197.125,113,141.6470588,610.4468085,156.05,160.3684211,207.5,117.0714286,191.5,114.1538462,137.2352941,141.5555556,151,160.1666667,107.5,842.75,161.9285714,146,325.0454545,282.3125,214.75,101.4736842,139.625,156.1,240.1428571,192,99.75,154.8947368,151.4615385,260.8,116.2,134.6470588,120.6666667,185.1111111,110.75,124.0588235,140.6,74,136.5,137,92.2,127.5882353,123.0526316,227.1538462,65.25,349.5454545,511.097561,63.1,250,940.0810811,220.4736842,387.92,46.2,236.4042553,46.11111111,62.6,167.6666667,273.7142857,269.5833333,153.8823529,204.375,198.125,242.6666667,260.8666667,134.9130435,1090.833333,192.5,222.6153846,173.2727273,103.5,193,157.3,183.2222222,109.4615385,531.8139535,257.25,162.2727273,146.1578947,285.4761905,636.7,167.0416667,136.1111111,258,171.4,174.4,181.8125,174.875,355.5,161.9285714,144.3333333,120.25,79.09090909,257
alpha_rarefaction_500_1.txt,500,1,62,153,90.8,132.125,157,200.1111111,208.1578947,84.5,134.4285714,241.2,108,106.3,223.5555556,96.85714286,188,104.0714286,166.2608696,134.3636364,110.0625,263.1666667,77,52.16666667,79,183.2307692,279.7142857,169.6,137,128.2727273,57.54545455,123.0909091,153.4615385,170.2,712.9230769,219.5263158,162.75,124.1764706,611.9375,147.1428571,136.4,146.4736842,180.5,181.4615385,169,130.0555556,167.4,113,100.1538462,131.2727273,733.44,165.0666667,129.5555556,519.4375,282.75,80,148.375,107.4545455,130.8823529,109.6153846,214.6666667,90,106.5555556,143.8823529,209.1428571,158.5,126.8666667,100.2352941,155.25,131.2142857,112.4736842,188.1764706,99.07142857,150.2307692,173.25,283.25,133.8666667,140.0434783,223.1111111,98.6,301.8333333,382.9285714,140,219.1714286,755.65,194.55,489.3170732,56,217,141,44,220.8,343.8076923,169.5625,124,181.9090909,133.8965517,169.6,220,139.5,834.7692308,286,230,195,127,135.15,118.1764706,136.64,126.4615385,642.6,198,153.3,204,251.4545455,779.037037,179.037037,128.4545455,227.5882353,139.5263158,125,270.6666667,188.8333333,248.5,158.1764706,173.4615385,75.5,114,214.0555556
alpha_rarefaction_500_2.txt,500,2,50.16666667,124.8666667,103.6,132.125,159.7142857,143.2352941,326.7692308,54.71428571,92.5,201.0555556,133.0526316,126.0769231,177,123,113,123.75,159.2727273,99.25,134.5833333,312.75,78.11111111,56,89.5,143.6470588,228.2857143,162.625,126,119.6,91.6,118.1666667,127.5,150.4375,736.097561,207.5,129.6,152.5,653.7169811,152.2857143,137.7307692,126.25,119.375,151.3333333,118.6153846,203.25,145.1428571,108.0909091,137.4285714,111.1052632,542.7142857,163.1052632,118,432.8,233.12,101.0625,209.6,112.5555556,150.5,167.1666667,183,128.5,129.8,146.2307692,432.9090909,138.75,135.6470588,78.61538462,124.3125,160.6153846,106.3684211,165.1764706,156,100.4736842,174,111.5,197.5,181.6666667,241.0909091,65.5,234.375,486.95,73.875,204.0277778,741.4489796,215.6470588,456,91,299.5588235,82.5,105,218.0769231,274.1111111,153.1428571,141,192,157.5555556,177.125,260.625,171.0666667,942.7333333,189.875,261.2142857,202.4761905,56.375,201.0714286,225.0666667,172.3333333,119.1538462,480.9772727,352.5,191.5,201.9090909,232.8947368,581.8857143,184.8,157.2307692,201.5,112,171,277.4615385,146.5882353,244.1875,236.4,150,42.5,89.33333333,229.3684211
alpha_rarefaction_500_3.txt,500,3,57.66666667,105,99.11111111,85.5,128.1578947,217.0909091,243,70.08333333,93.36363636,155.05,134.7692308,88.64705882,197.75,103.75,103.5,132,143.030303,126.9090909,96.56521739,298.0576923,65.11111111,59.6,79.11111111,136,287.9545455,168,136.875,139.9090909,79.5,97,138.9090909,150,684.5,190.8695652,141.1,128.875,729.3414634,132.6521739,145.1666667,130.1428571,215.25,186.5,123.8,139.5555556,166.0454545,111.75,96.6,111.1428571,515.7727273,173,210.25,388,239,176,148.9090909,120.1428571,191.7142857,159,166.24,95.78947368,133.5714286,134.6470588,323.5625,139.2307692,173.1,106,199.1111111,114,118.3913043,144.037037,106.1875,195.8,132.4,183.5454545,143.1176471,150.5555556,174.5555556,69.42857143,317,580.1764706,75.09090909,251.75,738.5384615,180.8,412.2368421,43.5,223.097561,54.42857143,87,242.0666667,260.8571429,266.3,150.125,211.4285714,151.8965517,341.6,203.0555556,160.4,1178.076923,211.1578947,293.6666667,176.6521739,58.2,148.2307692,152.8,184.1428571,112,534.0769231,189.4,157.5833333,158.3684211,324.5882353,785.75,199.5263158,109,182.4,171.0588235,175,231,196,348,187.7142857,127.9285714,143.5,70,256.7142857
alpha_rarefaction_500_4.txt,500,4,95.14285714,143.5,83.90909091,68.125,138.5833333,148,182,88.83333333,87,233.5,101.8947368,107.3333333,188,141.6666667,158.1428571,114.2142857,159.4444444,102.1111111,109.0625,275.4716981,72,42.5,98.5,138.3157895,307.7894737,217.4285714,145.3,175.8571429,69.23076923,154.6153846,152.75,143.6470588,816.1538462,199,147.25,116.4,978.2857143,147.1363636,151,214.6,133.0769231,152.0666667,138.3333333,138.8666667,259.3,110.75,77.09090909,181.5,607.5121951,146.2352941,231.8571429,305.25,260.7894737,120.5833333,129.9375,136.7692308,132.5714286,127.6666667,167.3333333,122.2727273,129.2857143,139.4375,273.1764706,175.0909091,109,123.6666667,107.0666667,134,101.1052632,195.55,73.4,147.5,122.625,109.6666667,160.4736842,192.0714286,208,71.5,275,408.8076923,61,221.6896552,812.8,164.1428571,365.1632653,87.85714286,263.7,85.42857143,95,170.3448276,256.5294118,152,152.2727273,201.3333333,188.55,254.625,260.3333333,147.1363636,803.875,261.2727273,261.2142857,222.5,52,176.5,170.0833333,145.8888889,112.1578947,601.0232558,280.5,187.6875,182.6,282.5882353,551.8333333,206.3913043,150.0769231,354.5,137.25,149.3333333,225.8333333,194.2142857,236.4,156.3529412,164.2142857,73,83.625,370.25
alpha_rarefaction_500_5.txt,500,5,57,174.4615385,76.09090909,59,145.1176471,116.9375,171.5,91.625,89.25,278.8823529,99,116.3529412,158.2727273,92.36363636,120.5,99.3,156.137931,156.1666667,101,256.2678571,65.75,68.6,71.33333333,214.25,242.5416667,128.7142857,149,123.0909091,70.75,113.375,127.0909091,128.8666667,638.72,179.6190476,146.25,146.5,670,140.3157895,239.0909091,170,129,302.625,114,156.875,150.6818182,125.7142857,104.6,111.5,614.65,152.6875,153.8947368,286.6216216,231.6363636,84,133.1,114.0322581,230,117.1764706,198.64,114.0625,119,140.75,273,144.5454545,206.75,109.2,170,127.0909091,138.75,174.6153846,95.33333333,123,134.5555556,149,137.6470588,206.75,191.0833333,81,247.3,460.1627907,69.5,228.5,813.7272727,214.5,465,53.57142857,299.59375,64.5,110.2,191.8695652,266.6153846,229.2142857,174.25,146,134.3703704,294.7692308,327.5454545,138.15,837.6875,219.5263158,225.3,210.1818182,86,161.0588235,277.75,169.0384615,203.1111111,690.516129,207.2307692,149.8076923,140.5,353.7142857,566.3636364,178.125,176,153.25,120,137.5,361.8,248.9090909,274.0769231,164.0666667,198.0769231,261.5,80.6,268.4
alpha_rarefaction_500_6.txt,500,6,70.25,140.4736842,86.36363636,85.54545455,172.1,144.3333333,159,76.11111111,84.6,238.4736842,143.3157895,104.2142857,180.8695652,70,133,144.4285714,158.4054054,122.5833333,97.14285714,312.9574468,77.66666667,53,97.14285714,141.1176471,299.6521739,142,147.6470588,187,60,110,87.4,115.0666667,905.5517241,145.0454545,183,124,704.0238095,137.8823529,135.9375,179.625,126.4,157.4615385,145.5,119.1578947,170,110,121.5,137.05,665.775,145.5,98.83333333,296.7777778,303.5263158,119.7692308,159.7692308,134,127.1111111,133,176.9130435,104,124,135.1052632,250.5,154.2,110.625,103.0625,118.1666667,168.1428571,112.8,148.1052632,94,193.1,104,123,190.0769231,170.1764706,143.4,91.16666667,200,469.6923077,67,224.8846154,939.8235294,169.3846154,459.5277778,51,244.025,72,67.66666667,209.5,230.71875,228.375,122.0714286,214.1111111,165.7142857,217,336,133.2727273,1238.028571,177.8333333,362.6666667,201.4545455,70,175.6875,159.1764706,158,137.8125,705.2857143,176.1578947,195.5555556,155.125,285.8823529,480.0833333,163.9642857,168.1538462,267.3125,181.5,164.1111111,339.5,288.0909091,186.5882353,146.2352941,155.1764706,74.5,78.14285714,241.4
alpha_rarefaction_500_7.txt,500,7,74,167.2142857,110.6666667,81.6,170.4,133.5714286,186.1363636,75.875,76.76923077,214.5,185,97,226.3529412,89.33333333,154.875,145.6666667,155.875,146.25,128.5,318.7272727,100.75,69.5,73.33333333,134.5555556,277.6363636,92,173.6153846,147.2307692,106,106.7142857,170.3,136.15,674.6923077,204.4444444,85.375,124.5,669.0625,131.7307692,146.1176471,250.3,187,174.6666667,118,156.0666667,203.8333333,99.75,82.9375,115.7142857,558.8372093,124.2,173.7692308,327.1304348,263.1428571,186.1666667,120.375,116.6666667,155,207.375,147,108.1875,113.1666667,127.9285714,297.4545455,136.8333333,123.75,126.4615385,103.3529412,155.25,104,154.8823529,97.90909091,130.8333333,144.7142857,194,180.0588235,157.0666667,186.7142857,92.85714286,410,465.1219512,76.625,232.7727273,782.0222222,282.4,404,68.5,288.15625,56.3,70.25,181.3,252.78125,184,173.6153846,204.6666667,166.4545455,210.625,241.7692308,141.2,1116.333333,317.6153846,345.8666667,194,93.2,184.6666667,179.2307692,210.8823529,115,548.025641,224.3529412,165.6818182,185,267.0555556,680.0285714,184.24,115.25,200.375,158.8947368,109,271.2307692,206.0769231,209.2,136.1666667,163.6666667,45.2,76.14285714,283.6666667
alpha_rarefaction_500_8.txt,500,8,68.66666667,126.8666667,77.66666667,64.42857143,167.5625,241.2727273,200.1428571,98,75.75,196.8125,145.7142857,155,182.9565217,121.6666667,151.6666667,114.4615385,141.12,115.6666667,101,273.8823529,93,60.42857143,87.46153846,146.4375,356.7894737,100.1428571,197.4,142.6,104,104.5454545,176.0909091,133.5714286,772.7575758,199.8333333,110.1111111,138,778.8571429,127.2,135,153,138,154.6875,116,130.1666667,211.2,90.07692308,91,150.5,540.1621622,143.5,263.3636364,331.44,277.375,106.2727273,117.1538462,133.15,159.5714286,237,169.1304348,87.5,110.8947368,127.9285714,330.5,176.5714286,102.5882353,116.1111111,125.3529412,125.7692308,121.3333333,214,74.25,102.8333333,150,101.9090909,143.2352941,159.8,165.2,73.75,291.3333333,488.0277778,48.27272727,267,663.2941176,173.55,368.7142857,59.11111111,290.5,110,98,209.5,296.2307692,191.4,152.2,125.6666667,177.625,243,292.8333333,159.1176471,1033.153846,253.7692308,192.0555556,248.3333333,115.5,274.625,153.9090909,192,122.625,715,149.6818182,180.8333333,148.5,273,584.1935484,174.5172414,172.0555556,222,135,237,293,249.4,270,278,189.9090909,78,78.33333333,306.8823529
alpha_rarefaction_500_9.txt,500,9,73.25,152.4615385,164.5,77.25,163.5,180.2307692,201.25,127.6,136.8571429,207.2608696,127.2857143,113,192.9130435,88.14285714,166.4285714,137.5,154.5517241,99.11111111,108.0666667,289.4117647,61.85714286,84,96.5,106.6190476,241.5555556,178.1111111,167.3,108.6153846,83.1,126.5,126.0769231,192.0769231,648.8717949,218.6470588,89.55555556,183.4615385,681.6341463,150.2857143,144.6071429,116.4615385,182.0769231,138.1666667,143.5,226.2727273,172.5,105.3333333,114.8,122.3529412,583.0731707,235.75,229.8571429,348,228.3333333,148.1111111,147.1052632,145,123,191,154.7777778,107.4,119.75,165.5,230.625,151.2,150.2,151.3,147.6875,116.0588235,113.6190476,181.6666667,93.90909091,147.9090909,188.4,246,109.44,137.625,232,52.5,211.1578947,488.4102564,94,166.2142857,784.525,177,342.6666667,43.75,228.0714286,116.2,58,177.4,266.037037,213.8333333,125,149,206.1428571,233,238,185.7894737,831.372549,204.55,186.55,222,71,175,178.1764706,160.0454545,142.4,578.4666667,205.6470588,170.5882353,184.7692308,272,513.0789474,188.24,136.0555556,251.5263158,134,154.1538462,229.0714286,199.6470588,310,237.75,129.0769231,99,67.1,321.05
