"","experiment","Site.experiment","Site","Sample.Type","Sample.Date"
"NU.15.DeMMO1.Steri.120715","fluid","15.fluid","15","DeMMO1","NA.NA"
"16.10dash1.050216","fluid","10dash1.fluid","10dash1","050216","NA.NA"
"18.10dash1.051816","fluid","10dash1.fluid","10dash1","051816","NA.NA"
"19.10dash1.071116","fluid","10dash1.fluid","10dash1","071116","NA.NA"
"NU.01.DeMMO1.Steri.1.092016","fluid","01.fluid","01","DeMMO1","NA.NA"
"NU.14.DeMMO1.Steri.1.120916","fluid","14.fluid","14","DeMMO1","NA.NA"
"7.DeMMO1.Steri.050917","fluid","DeMMO1.fluid","DeMMO1","Steri","May.2017"
"1.DeMMO1.steri.083117","fluid","DeMMO1.fluid","DeMMO1","steri","Aug.2017"
"1.DeMMO1.steri.113017","fluid","DeMMO1.fluid","DeMMO1","steri","Nov.2017"
"12.DeMMO1.steri.041818","fluid","DeMMO1.fluid","DeMMO1","steri","Apr.2018"
"NU.24.DeMMO1.D1.wool.Sep2016","fluid","24.fluid","24","DeMMO1","NA.NA"
"NU.25.DeMMO1.D1.sand.Sep2016","fluid","25.fluid","25","DeMMO1","NA.NA"
"1.DeMMO1.Steri.021517","fluid","DeMMO1.fluid","DeMMO1","Steri","Feb.2017"
"NU.26.DeMMO1.D1.3mmPyrex.Sep2016","fluid","26.fluid","26","DeMMO1","NA.NA"
"NU.27.DeMMO1.D1.5mmPyrex.Sep2016","fluid","27.fluid","27","DeMMO1","NA.NA"
"20.DeMMO1.A.top.041818","fluid","DeMMO1.fluid","DeMMO1","A","NA.NA"
"21.DeMMO1.B.top.041818","fluid","DeMMO1.fluid","DeMMO1","B","NA.NA"
"22.DeMMO1.C.top.041818","fluid","DeMMO1.fluid","DeMMO1","C","NA.NA"
"23.DeMMO1.D.top.041818","fluid","DeMMO1.fluid","DeMMO1","D","NA.NA"
"24.DeMMO1.E.top.041818","fluid","DeMMO1.fluid","DeMMO1","E","NA.NA"
"26.DeMMO1.SC1.top.041818","fluid","DeMMO1.fluid","DeMMO1","SC1","NA.NA"
"27.DeMMO1.SC2.top.041818","fluid","DeMMO1.fluid","DeMMO1","SC2","NA.NA"
"28.DeMMO1.SC3.top.041818","fluid","DeMMO1.fluid","DeMMO1","SC3","NA.NA"
"29.DeMMO1.SC4.top.041818","fluid","DeMMO1.fluid","DeMMO1","SC4","NA.NA"
"30.DeMMO1.SC5.top.041818","fluid","DeMMO1.fluid","DeMMO1","SC5","NA.NA"
"31.DeMMO1.SC7.top.041818","fluid","DeMMO1.fluid","DeMMO1","SC7","NA.NA"
"32.DeMMO1.SC8.top.041818","fluid","DeMMO1.fluid","DeMMO1","SC8","NA.NA"
"33.DeMMO1.SC9.top.041818","fluid","DeMMO1.fluid","DeMMO1","SC9","NA.NA"
"34.DeMMO1.SC10.top.041818","fluid","DeMMO1.fluid","DeMMO1","SC10","NA.NA"
"45.DeMMO1.7.top.041818","fluid","DeMMO1.fluid","DeMMO1","7","NA.NA"
"46.DeMMO1.8.top.041818","fluid","DeMMO1.fluid","DeMMO1","8","NA.NA"
"47.DeMMO1.9.top.041818","fluid","DeMMO1.fluid","DeMMO1","9","NA.NA"
"48.DeMMO1.10.top.041818","fluid","DeMMO1.fluid","DeMMO1","10","NA.NA"
"49.DeMMO1.11.top.041818","fluid","DeMMO1.fluid","DeMMO1","11","NA.NA"
"50.DeMMO1.12.top.041818","fluid","DeMMO1.fluid","DeMMO1","12","NA.NA"
"NU.18.DeMMO3.Steri.Dec2015","fluid","18.fluid","18","DeMMO3","NA.NA"
"14.24790.AfterDrilling.050516","fluid","24790.fluid","24790","AfterDrilling","May.2016"
"15.24790.DitchFluid.050516","cont.control","24790.cont.control","24790","DitchFluid","May.2016"
"28.24790.071216","fluid","24790.fluid","24790","071216","NA.NA"
"NU.05.DeMMO3.Steri.2.092116","fluid","05.fluid","05","DeMMO3","NA.NA"
"NU.12.DeMMO3.Steri.1.120816","fluid","12.fluid","12","DeMMO3","NA.NA"
"6.DeMMO3.Steri.021517","fluid","DeMMO3.fluid","DeMMO3","Steri","Feb.2017"
"9.DeMMO3.Steri.051117","fluid","DeMMO3.fluid","DeMMO3","Steri","May.2017"
"3.DeMMO3.steri.083117","fluid","DeMMO3.fluid","DeMMO3","steri","Aug.2017"
"3.DeMMO3.steri.112717","fluid","DeMMO3.fluid","DeMMO3","steri","Nov.2017"
"14.DeMMO3.steri.041718","fluid","DeMMO3.fluid","DeMMO3","steri","Apr.2018"
"NU.44.DeMMO3.D1.wool.Sep2016","fluid","44.fluid","44","DeMMO3","NA.NA"
